asset_id,bf_id,relationship_type,confidence,description
A_055,BF_312,OPERATES,0.95,엔비디아 AI도조칩 연산 밸류체인
A_232,BF_312,OPERATES,0.95,TSMC AI도조칩 제조 밸류체인
A_088,BF_312,OPERATES,0.9,삼성전자 AI도조칩 반도체 밸류체인
A_079,BF_021,OPERATES,0.9,LG전자 액추에이터/부품 밸류체인
A_083,BF_021,OPERATES,0.9,로보스타 액추에이터/부품 밸류체인
A_1191,BF_313,OPERATES,0.9,한라캐스트 로봇프레임 밸류체인
A_085,BF_036,OPERATES,0.9,삼성전기 카메라/센서 밸류체인
A_080,BF_036,OPERATES,0.9,LG이노텍 카메라/센서 밸류체인
A_202,BF_032,OPERATES,0.9,파나소닉 배터리 밸류체인
A_147,BF_032,OPERATES,0.9,LG에너지솔루션 배터리 밸류체인
A_816,BF_215,OPERATES,0.9,삼성디스플레이 디스플레이 밸류체인
