macro_id,macro_name_ko,macro_name_en,macro_type
M_017,엔비디아루빈개발,Next-gen GPU roadmap (Rubin),GrowthDriver
M_018,피지컬AI확산,Physical AI Expansion,Technology
M_019,AI추론확산,AI Inference Proliferation,Technology
M_020,EV보급확대,EV Adoption Expansion,GrowthDriver
M_021,자율주행보급확대,Autonomous Driving Adoption Expansion,GrowthDriver
M_022,이동형로봇확산,Mobile Robot Expansion,Technology
M_010,국가주도,StateLedStrategy,Policy
M_011,정책이벤트민감,PolicyEventSensitivity,Policy
M_012,TPU미공개,TPUNonDisclosure,Regulation
M_013,AI반도체자회사IP통제,AISemiconductorSubsidiaryIPControl,Regulation
