theme_id,theme_name_ko,theme_name_en
T_001,글로벌석유/원유ETF,Global Oil & Crude Oil ETF
T_002,K-의류OEM/ODM,K-Apparel OEM/ODM
T_003,소프트뱅크_AI투자,SoftBank AI Investment
T_004,글로벌자동차OEM,Global Automobile OEM
T_005,미국데이터센터건축,US Data Center Construction
T_010,,Samsung Group Humanoid Related Stocks
T_100,,Isu Group All-solid-state Battery & AI Semiconductor
T_101,,Global MLCC Related Stocks
T_102,,Global Helium Gas Related Stocks
T_103,,Global Lithium Stocks
T_104,,Global Telecom Equipment Vendors
T_105,,Global Humanoid ETF
T_106,,K-IT LGCNS vs SamsungSDS
T_107,,U.S. Data Center Power Solutions
T_108,,U.S. Grocery Commerce
T_109,,Multi-Tech Momentum
T_011,,Global Data Center Immersion Cooling
T_110,,K Rare Earth Stocks
T_111,,K Nuclear Submarine
T_112,,Global iPhone Supply Chain
T_113,,Global LiDAR Companies
T_114,,Hydrogen Fuel Cell Data Center
T_115,,US Media Industry
T_116,,Global Apparel Manufacturers
T_117,,US Airline Stocks
T_118,,Korea Quantum Computing
T_119,,AIDC / Server HW Components
T_012,,SpaceX Related
T_120,,US Offline Retail Chains
T_121,,Arctic Route Beneficiaries
T_122,,K-Alaska LNG Beneficiaries
T_123,,China ETFs (US-listed)
T_124,,Global Gold Equities
T_125,,Global AI ETF BIG4
T_126,,K Semiconductor Glass Substrate
T_128,,Global MEME Stocks
T_129,K-보톡스,K-Botox
T_013,,Regional & Country ETFs
T_130,글로벌AI저전력고속반도체,Global AI Low-power High-speed Semiconductor
T_131,HD현대그룹주,HD Hyundai Group Stocks
T_132,글로벌양자컴퓨팅ETF,Global Quantum Computing ETFs
T_133,,G133_SK Hynix Value Chain_ETF
T_134,,AIDC / Semiconductor Equipment Power Solutions
T_135,,Kolon Group Related Stocks
T_136,,K-High Dividend Stock - KT&G
T_137,,Master Investor Map - Peter Thiel
T_138,,Global Casino Stocks
T_139,,Japan Mid-cap
T_140,,Coupang Related Stocks
T_141,,Global Medical/Surgical Robots
T_142,,Korea Securities
T_143,,Intel Ecosystem
T_144,,China Tech Self-Reliance
T_145,,Global CXL Memory Controllers
T_146,,Global Biotech Theme
T_147,,Global Cruise Stocks
T_148,,Magnificent Seven
T_149,,Korea CATL Supply Chain
T_015,K-자율주행 관련주,K-Autonomous Driving Stocks
T_150,,BNPL
T_151,,
T_154,,Global Manufacturing / Digital Twin SW
T_155,,Foxconn Biz Ecosystem
T_156,,U.S. Utilities
T_157,,Blockchain Infrastructure
T_158,,Naver vs Kakao Platform Strategy
T_159,,Silver Related Stocks
T_016,,2026 China TOP10 (Goldman Sachs)
T_160,,China Pharma & Biotech
T_161,,K-Bio - HanAll Biopharma
T_163,,Big Money - National Pension Nov 2025
T_164,,Global Robotics ETF
T_165,글로벌반도체-PCB드릴비트,Global Semiconductor PCB Drill Bit
T_166,,Ethereum Related Stocks
T_167,,LS Group Related Stocks
T_168,,K-ESS Related Stocks
T_169,,U.S. Quantum Computing
T_017,,Global SMR+MMR
T_170,한중관계관련주,Korea-China Relation Sensitive Stocks
T_171,글로벌뮤직플랫폼,Global Music Platforms
T_172,미국사모펀드,U.S. Private Equity
T_173,K-뷰티:화장품,K-Beauty: Cosmetics
T_174,HBM장비_본더,HBM Equipment - Bonder
T_175,K-사이버보안,K-Cybersecurity
T_176,샤오미 밸류체인,Xiaomi Value Chain
T_178,K-방산,K-Defense
T_018,,Global Edge AI
T_180,머스크테라팹관련주,Musk Tera Fab Theme
T_181,멀티모멘텀삼성전기,Multi Momentum Samsung Electro-Mechanics
T_182,K-해상풍력관련주,K-Offshore Wind Theme
T_183,,China EV Value Chain
T_184,,K-Medical AI
T_185,글로벌 비만약 관련주,Global Obesity Drug
T_187,,K-Life Insurance
T_189,,Hyosung Group Stocks
T_019,,K-Food
T_190,,K-Entertainment
T_192,,K-Beauty Medical Devices
T_193,오픈AI 생태계,OpenAI Ecosystem
T_194,K-치의료:임플란트,K-Dental Healthcare: Implant
T_195,,DoosanGroupRelatedStocks
T_196,포스코그룹,POSCO Group
T_197,,Global Copper Related Stocks
T_198,,China AI Cloud
T_199,조선기자재·특수소재/구조/유지보수,Shipbuilding Equipment: Special Materials / Structures / Maintenance
T_020,"K-LNG조선(운반선,플랜트)","K-LNG Shipbuilding (Carrier, Plant)"
T_200,조선장비기자재:철강/배관/펌프,Shipbuilding Equipment: Steel/Piping/Pump
T_201,,Global Semiconductor Equipment-Etcher
T_202,K-바이오:한미약품,K-Bio: Hanmi Pharm
T_203,CJ 그룹 관련주,CJ Group Related Stocks
T_204,미국하이퍼로컬플랫폼,US Hyperlocal Platform
T_205,K-LNG:루이지애나수출터미널,K-LNG: Louisiana Export Terminal
T_206,미국로봇산업:휴머노이드,US Robotics Industry: Humanoid
