bf_id,business_field_ko,business_field_en
BF_007,검색광고,Search Advertising
BF_008,클라우드,Cloud
BF_009,AI칩,AI Chips
BF_010,AI플랫폼,AI Platform
BF_011,스트리밍,Streaming
BF_012,안드로이드,Android
BF_013,워크스페이스,Workspace
BF_014,자율주행,Autonomous Driving
BF_015,로봇플랫폼,Robotics Platform
BF_016,저전력반도체,Low Power Semiconductor
BF_017,표준아키텍처,Standard Architecture
BF_018,MCU,Microcontroller Unit
BF_019,엣지AI,Edge AI
BF_020,소프트웨어,Software
BF_021,액추에이터,Actuator
BF_022,산업용로봇제어기,Industrial Robot Controller
BF_023,웨어러블관절구동,Wearable Joint Drive
BF_024,고해상도카메라모듈,High-Resolution Camera Module
BF_025,옵티머스,Optimus Humanoid Robot
BF_026,감속기,Reducer / Gearbox
BF_027,로봇용카메라모듈,Robot Camera Module
BF_028,웨어러블부품제조,Wearable Parts Manufacturing
BF_029,비전소프트웨어,Vision Software
BF_030,액침 냉각 플루이드,Immersion Cooling Fluids
BF_031,특수합금,Special Alloys
BF_032,배터리,Battery
BF_033,통합SDV플랫폼,Integrated SDV Platform
BF_034,샤시/ADAS,Chassis/ADAS
BF_035,조명/센서,Lighting/Sensor
BF_036,카메라/센서,Camera/Sensor
BF_037,핵연료,Nuclear Fuel
BF_038,소재및발전기기,Materials & Power Equipment
BF_039,3.5세대SMR,Gen3.5 SMR
BF_040,4세대SMR,Gen4 SMR
BF_041,MMR,Micro Modular Reactor
BF_042,임베디드/MCU,Embedded MCU
BF_043,FPGA/커스텀로직,FPGA & Custom Logic
BF_044,디바이스부품,Device Components
BF_045,배관/피팅,Pipes & Fittings
BF_046,보냉재/시스템,Insulation Materials & Systems
BF_047,전력/통합신호,Power & Mixed-Signal
BF_048,DC/네트워킹/인프라,Data Center / Networking / Infrastructure
BF_049,특정용응용솔루션,Application-Specific Solutions
BF_050,우주·방산 특화 반도체,Space & Defense Specialized Semiconductor
BF_051,위성 RF·신호 증폭·변환,Satellite RF & Signal Amplification/Conversion
BF_052,항공우주 구동·액추에이션 시스템,Aerospace Actuation Systems
BF_053,NAND,NAND
BF_054,SSD,SSD
BF_055,HDD,HDD
BF_056,토탈 AI 플랫폼+클라우드,Total AI Platform + Cloud
BF_057,버티컬 AI 특화 사업,Vertical AI Specialized Business
BF_058,퓨어 LLM 플레이,Pure LLM Play
BF_059,클라우드인프라,Cloud Infrastructure
BF_060,프로바이오틱스,Probiotics
BF_061,기술이전,Technology Licensing
BF_062,항암제,Oncology Drugs
BF_063,신약개발플랫폼,Drug Development Platform
BF_064,CDMO,CDMO
BF_065,냉각/열관리,Cooling & Thermal Management
BF_066,광통신모듈,Optical Communication Module
BF_067,자율무기체계,Autonomous Weapons System
BF_068,미사일체계,Missile System
BF_069,희토류정제,Rare Earth Refining
BF_070,DB/검색/DW,DB/Search/DW
BF_071,저장최적화,Storage Optimization
BF_072,마케팅최적화,Marketing Optimization
BF_073,네트워크/엣지,Network/Edge
BF_074,보안,Cybersecurity
BF_075,옵저버빌리티/분석,Observability/Analytics
BF_076,라이다,LiDAR
BF_077,모션콘트롤,Motion Control
BF_078,아틀라스,Atlas
BF_079,식음료서비스,Food Service
BF_080,운송업,Transportation
BF_081,대형리테일업,Large Retail
BF_082,헬스케어서비스,Healthcare Services
BF_083,대형금융서비스,Large Financial Services
BF_084,중대형가스터빈,Large-scale Gas Turbine
BF_085,항공기터빈제조,Aircraft Turbine Manufacturing
BF_086,중고명품매매,Luxury Resale Marketplace
BF_087,트럼프코인수탁,Trump Coin Custody
BF_088,기관용수탁/트레이딩,Institutional Custody/Trading
BF_089,반도체,Semiconductor
BF_090,데이터센터,Data Center
BF_091,원전/SMR,Nuclear / SMR
BF_092,인프라재건설계,Infrastructure Reconstruction Design
BF_093,Intra-데이터센터,Intra-Data Center
BF_094,In-데이터센터,Inter-Data Center
BF_095,부동산관리,Real Estate Management
BF_096,자산관리,Asset Management
BF_097,SaaS,SaaS
BF_098,차량보유화물중개,Asset-Based Freight Brokerage
BF_099,화물중개브로커리지,Freight Brokerage
BF_100,클라우드서비스,Cloud Service
BF_101,네트워크/스토리지,Network/Storage
BF_102,방산/항공,Defense / Aerospace
BF_103,AI/데이터,AI / Data
BF_104,위성통신서비스,Satellite Communication Services
BF_105,무인전투기/드론,Unmanned Combat Aircraft / Drones
BF_106,UAM/eVTOL항공,UAM / eVTOL Aviation
BF_107,우주발사체/탐사,Space Launch / Exploration
BF_108,시니어/요양,Senior Housing / Care
BF_109,오피스,Office
BF_110,아파트/주거,Apartment / Residential
BF_111,물류/산업용,Logistics / Industrial
BF_112,리얼티,Realty
BF_113,시니어하우징리츠,Senior Housing REITs
BF_114,요양서비스,Care Services
BF_115,LNG채굴/수출,LNG Production / Export
BF_116,LNG터미널EPC/플랜트,LNG Terminal EPC / Plant
BF_117,LNG운송,LNG Shipping
BF_118,컨테이너선,Container Shipping
BF_119,벌크선,Bulk Shipping
BF_120,IT,Information Technology
BF_121,온라인여행플랫폼,Online Travel Platform
BF_122,발전소/개발/EPC,Power Plant/Development/EPC
BF_123,태양광셀/모듈(미국),Solar Cells/Modules (USA)
BF_124,인버터/그리드,Inverter/Grid
BF_125,풍력개발,Wind Farm Development
BF_126,터빈제조,Turbine Manufacturing
BF_127,운송/EPC/기자재,Transport / EPC / Components
BF_128,지상화력/기동,Ground Firepower / Mobility
BF_129,유도무기·레이더·전자전,Guided Weapons / Radar / Electronic Warfare
BF_130,항공/우주,Aerospace / Space
BF_131,소버린AI인프라,Sovereign AI Infrastructure
BF_132,에너지강관,Energy Steel Pipes
BF_133,DC봉형강,DC Long Section Steel
BF_134,종합철강,Integrated Steel Production
BF_135,장비/EPC,Equipment / EPC
BF_136,소재/화학,Materials / Chemicals
BF_137,탄소배출권·온실가스감축,Carbon Credits / GHG Reduction
BF_138,반도체패키징/고분자소재,Semiconductor Packaging / Polymer Materials
BF_139,전고체/리튬,All-solid-state Battery / Lithium Materials
BF_140,우주/방산차폐소재,Aerospace & Defense Shielding Materials
BF_141,OLED소재,OLED Materials
BF_142,AI서버제조(ODM/랙통합),AI Server Manufacturing (ODM / Rack Integration)
BF_143,DC전력·파워·쿨링,DC Power / Cooling
BF_144,네트워크장비·스위치,Network Equipment / Switches
BF_145,서버/통신장비제조,Server / Telecom Equipment Manufacturing
BF_146,터빈/발전기기,Turbo Generator Equipment
BF_147,기자재,Industrial Components
BF_148,PC/서버용,PC / Server
BF_149,IP라이선스+칩제조,IP Licensing + Chip Manufacturing
BF_150,모바일·엣지SoC,Mobile / Edge SoC
BF_151,드론운영소프트웨어,Drone Operation Software
BF_152,드론기체/플랫폼,Drone Airframe / Platform
BF_153,카운터드론/전자전/탐지,Counter-Drone / Electronic Warfare / Detection
BF_154,드론운영체계통합,Drone Operation System Integration
BF_155,자동차전장,Automotive Electronics
BF_156,로봇,Robotics
BF_157,공조/냉각솔루션,HVAC / Cooling Solutions
BF_158,ESS,Energy Storage System
BF_159,전기차,Electric Vehicle
BF_160,데이터센터구축,Data Center Build-out
BF_161,OLED,OLED
BF_162,AI반도체,AI Semiconductor
BF_163,아이폰,iPhone
BF_164,식품포장지,Food Packaging
BF_165,골판지,Corrugated Paper
BF_166,재생플라스틱기술,Recycled Plastic Technology
BF_167,2차전지소재,Secondary Battery Materials
BF_168,전통+온라인카지노,Hybrid Casino (Offline+Online)
BF_169,B2C온라인베팅,B2C Online Betting
BF_170,B2B데이터,B2B Betting Data
BF_171,RNA치료제,RNA Therapeutics
BF_172,바이오시밀러,Biosimilar
BF_173,ADC,Antibody Drug Conjugate
BF_174,신약개발SW,New Drug Development SW
BF_175,멀티모달의료데이터OS/AI,Multimodal Medical Data OS/AI
BF_176,폐쇄형신약개발플랫폼,Closed New Drug Development Platform
BF_177,제약SaaS,Pharmaceutical SaaS
BF_178,방산,Defense
BF_179,EPC,EPC
BF_180,건설/기자재,Construction / Equipment
BF_181,소재/운반,Materials / Transport
BF_182,연료전지/발전,Fuel Cell / Power Generation
BF_183,모빌리티,Mobility
BF_184,미국소형헬륨개발,US Small-scale Helium Development



