from_asset_id,to_business_field_id,relationship_type,confidence,description
A_001,BF_159,OPERATES,0.95,EV중심자동차사업
A_002,BF_159,OPERATES,1.00,EV중심자동차사업
A_002,BF_156,OPERATES,0.90,로봇사업확장
A_003,BF_159,OPERATES,1.00,EV중심자동차사업
A_003,BF_156,OPERATES,0.80,로봇및자동화연계
A_004,BF_156,OPERATES,0.85,로봇사업연계
A_004,BF_358,OPERATES,0.90,하이브리드차량사업
A_005,BF_358,OPERATES,0.90,하이브리드차량사업
A_006,BF_358,OPERATES,0.95,하이브리드차량사업
A_007,BF_358,OPERATES,0.90,하이브리드차량사업
A_008,BF_359,OPERATES,0.95,북미전통차량사업
A_009,BF_359,OPERATES,0.95,북미전통차량사업
A_010,BF_359,OPERATES,0.90,글로벌전통차량사업
