asset_id,etf_id,relation_type,confidence,description
A_003,A_781,IN_ETF,0.9,BYD편입
A_786,A_781,IN_ETF,0.9,도봇편입
A_787,A_781,IN_ETF,0.9,유비테크편입
A_786,A_782,IN_ETF,0.9,도봇편입
A_787,A_782,IN_ETF,0.9,유비테크편입
A_321,A_782,IN_ETF,0.9,시노로봇편입
A_286,A_783,IN_ETF,0.85,ABB편입
A_079,A_783,IN_ETF,0.85,LG전자편입
A_002,A_783,IN_ETF,0.9,테슬라편입
A_002,A_784,IN_ETF,0.9,테슬라편입
A_285,A_784,IN_ETF,0.85,보스턴다이내믹스편입
A_055,A_784,IN_ETF,0.9,엔비디아편입
A_002,A_785,IN_ETF,0.9,테슬라편입
A_789,A_785,IN_ETF,0.85,어질리티로보틱스편입
A_790,A_785,IN_ETF,0.85,피규어AI편입
