from_asset_id,to_asset_id,relation_type,confidence,description
A_002,A_913,IN_ETF,0.95,BUZZETF편입
A_055,A_913,IN_ETF,0.95,BUZZETF편입
A_056,A_913,IN_ETF,0.95,BUZZETF편입
A_914,A_912,IN_ETF,0.95,MEMEETF편입
A_831,A_912,IN_ETF,0.95,MEMEETF편입
A_918,A_912,IN_ETF,0.90,MEMEETF편입
A_346,A_912,IN_ETF,0.95,MEMEETF편입
A_347,A_912,IN_ETF,0.95,MEMEETF편입
A_917,A_912,IN_ETF,0.95,MEMEETF편입
A_916,A_912,IN_ETF,0.95,MEMEETF편입
A_915,A_912,IN_ETF,0.90,MEMEETF편입
A_350,A_912,IN_ETF,0.90,MEMEETF편입
A_506,A_912,IN_ETF,0.80,MEMEETF편입
