asset_id,bf_id,relation_type,confidence,description
A_1199,BF_032,OPERATES,0.90,배터리열관리및부품관련사업
A_1200,BF_032,OPERATES,0.85,전기차배터리수요와연결
A_779,BF_032,OPERATES,0.95,중국배터리대표기업
A_003,BF_032,OPERATES,0.90,전기차및배터리수직계열화
A_778,BF_032,OPERATES,0.95,리튬소재공급망
A_003,BF_159,OPERATES,0.95,중국전기차대표기업
A_153,BF_159,OPERATES,0.90,전기차사업확장
A_1200,BF_159,OPERATES,0.95,중국전기차제조
A_1201,BF_159,OPERATES,0.95,중국전기차제조
A_1202,BF_159,OPERATES,0.95,중국전기차제조
A_1203,BF_159,OPERATES,0.95,중국전기차제조
A_1204,BF_159,OPERATES,0.95,중국전기차제조
A_1205,BF_159,OPERATES,0.90,중국완성차및전기차사업
A_323,BF_159,OPERATES,0.85,전기차자동화및전장부품연계
