asset_id,business_field_id,relationship_type,confidence,description
A_1243,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_1244,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_1245,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_1246,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_1247,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_1248,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_1249,BF_291,OPERATES,0.95,물류/산업 자동화 사업 영위
A_083,BF_291,OPERATES,0.90,물류/산업 자동화 사업 영위
A_979,BF_343,OPERATES,0.95,수술 로봇 관련 사업 영위
A_091,BF_344,OPERATES,0.95,휴머노이드 관련 사업 영위
A_091,BF_345,OPERATES,0.95,협동로봇 관련 사업 영위
A_1250,BF_345,OPERATES,0.95,협동로봇 관련 사업 영위
A_1251,BF_345,OPERATES,0.95,협동로봇 관련 사업 영위
