asset_id,theme_id,relationship_type,confidence,description
A_164,T_209,THEMED_AS,0.90,차세대SMR기업
A_165,T_209,THEMED_AS,0.95,북미대표우라늄생산기업
A_166,T_209,THEMED_AS,0.92,핵연료공급기업
A_167,T_209,THEMED_AS,0.92,원전설계및전력인프라기업
A_168,T_209,THEMED_AS,0.94,SMR대표기업
A_169,T_209,THEMED_AS,0.89,원전부품및방산기업
A_170,T_209,THEMED_AS,0.92,차세대소형원자로기업
A_173,T_209,THEMED_AS,0.90,원전설계및건설기업
A_553,T_209,THEMED_AS,0.88,원전인프라투자기업
A_1061,T_209,THEMED_AS,0.90,원전전력수혜유틸리티
A_1341,T_209,THEMED_AS,0.90,원전기반전력운영기업
A_1342,T_209,THEMED_AS,0.90,마이크로원자로기업
A_1343,T_209,THEMED_AS,0.89,우라늄개발기업
A_1344,T_209,THEMED_AS,0.91,우라늄및희토류생산기업
A_1345,T_209,THEMED_AS,0.91,우라늄채굴기업
A_1346,T_209,THEMED_AS,0.88,원전전력유틸리티
A_1350,T_209,THEMED_AS,0.88,원자력ETF
