asset_id,bf_id,relationship_type,confidence,description
A_787,BF_395,OPERATES,0.99,휴머노이드 완제품 개발
A_321,BF_395,OPERATES,0.98,산업용 및 휴머노이드 완제품
A_322,BF_395,OPERATES,0.97,산업·협동로봇 완제품
A_1420,BF_395,OPERATES,0.97,가정용 서비스로봇 완제품
A_1421,BF_395,OPERATES,0.97,의료·재활 로봇 완제품
A_786,BF_395,OPERATES,0.96,산업용 협동로봇 완제품
A_153,BF_395,OPERATES,0.95,휴머노이드 기반 완제품 개발
A_1418,BF_396,OPERATES,0.98,액추에이터 핵심부품
A_1419,BF_396,OPERATES,0.97,정밀부품 및 액추에이터
A_1417,BF_396,OPERATES,0.97,모터 및 구동부품
A_1199,BF_396,OPERATES,0.98,제어 및 액추에이터 부품
A_1416,BF_396,OPERATES,0.96,스테핑모터 핵심부품
A_1415,BF_396,OPERATES,0.96,스트레인 센서 핵심부품
A_1422,BF_396,OPERATES,0.98,라이다 및 센서 핵심부품
