asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_1154,Amorepacific,아모레퍼시픽,090430,KOSPI,KR,STOCK
A_687,LG Household & Health Care,LG생활건강,051900,KOSPI,KR,STOCK
A_1505,Hyundai Department Store,현대백화점,069960,KOSPI,KR,STOCK
A_1144,Hotel Shilla,신라호텔,008770,KOSPI,KR,STOCK
A_1506,Shinsegae,신세계,004170,KOSPI,KR,STOCK
A_1507,Incredible Buzz,인크레더블버즈,064090,KOSDAQ,KR,STOCK
A_1508,CHA Biotech,차바이오텍,085660,KOSDAQ,KR,STOCK
A_922,PharmaResearch,파마리서치,214450,KOSDAQ,KR,STOCK
A_924,Hugel,휴젤,145020,KOSDAQ,KR,STOCK
A_921,Classys,클래시스,214150,KOSDAQ,KR,STOCK
A_1509,Lutronic,루트로닉,085370,KOSDAQ,KR,STOCK
A_1510,Jaysis Medical,제이시스메디칼,287410,KOSDAQ,KR,STOCK
A_1142,GKL,GKL,114090,KOSPI,KR,STOCK
A_1143,Paradise,파라다이스,034230,KOSDAQ,KR,STOCK
A_1511,Lotte Tour Development,롯데관광개발,032350,KOSPI,KR,STOCK
A_1257,L&C BIO,엘앤씨바이오,290650,KOSDAQ,KR,STOCK
A_1512,Global Tax Free,글로벌텍스프리,204620,KOSDAQ,KR,STOCK
A_1210,Deepnoid,딥노이드,315640,KOSDAQ,KR,STOCK
