from_asset_id,to_bf_id,relationship_type,confidence,description
A_1154,BF_299,OPERATES,0.98,K뷰티화장품사업영위
A_687,BF_299,OPERATES,0.97,K뷰티화장품사업영위
A_1505,BF_412,OPERATES,0.94,면세점백화점사업영위
A_1144,BF_412,OPERATES,0.98,면세점사업영위
A_1506,BF_412,OPERATES,0.96,백화점사업영위
A_1507,BF_411,OPERATES,0.83,의료관광플랫폼사업영위
A_1508,BF_413,OPERATES,0.86,안티에이징미용사업영위
A_922,BF_413,OPERATES,0.97,안티에이징미용사업영위
A_924,BF_413,OPERATES,0.97,안티에이징미용사업영위
A_921,BF_413,OPERATES,0.96,안티에이징미용사업영위
A_1509,BF_414,OPERATES,0.94,미용의료기기사업영위
A_1510,BF_414,OPERATES,0.95,미용의료기기사업영위
A_1257,BF_413,OPERATES,0.91,안티에이징미용사업영위
A_1142,BF_415,OPERATES,0.98,카지노사업영위
A_1143,BF_415,OPERATES,0.98,카지노사업영위
A_1511,BF_415,OPERATES,0.84,카지노관광연계사업영위
A_1210,BF_411,OPERATES,0.80,의료AI플랫폼사업영위
