from_asset_id,to_theme_id,relationship_type,confidence,description
A_1154,T_233,THEMED_AS,0.96,K외국인관광수혜테마구성자산
A_687,T_233,THEMED_AS,0.95,K외국인관광수혜테마구성자산
A_1505,T_233,THEMED_AS,0.93,K외국인관광수혜테마구성자산
A_1144,T_233,THEMED_AS,0.97,K외국인관광수혜테마구성자산
A_1506,T_233,THEMED_AS,0.94,K외국인관광수혜테마구성자산
A_1507,T_233,THEMED_AS,0.82,K외국인관광수혜테마구성자산
A_1508,T_233,THEMED_AS,0.84,K외국인관광수혜테마구성자산
A_922,T_233,THEMED_AS,0.95,K외국인관광수혜테마구성자산
A_924,T_233,THEMED_AS,0.94,K외국인관광수혜테마구성자산
A_921,T_233,THEMED_AS,0.94,K외국인관광수혜테마구성자산
A_1509,T_233,THEMED_AS,0.90,K외국인관광수혜테마구성자산
A_1510,T_233,THEMED_AS,0.92,K외국인관광수혜테마구성자산
A_1142,T_233,THEMED_AS,0.96,K외국인관광수혜테마구성자산
A_1143,T_233,THEMED_AS,0.96,K외국인관광수혜테마구성자산
A_1511,T_233,THEMED_AS,0.94,K외국인관광수혜테마구성자산
A_1257,T_233,THEMED_AS,0.91,K외국인관광수혜테마구성자산
A_1512,T_233,THEMED_AS,0.90,K외국인관광수혜테마구성자산
A_1210,T_233,THEMED_AS,0.83,K외국인관광수혜테마구성자산
