from_asset_id,to_character_id,relationship_type,confidence,description
A_1560,C_190,HAS_TRAIT,0.96,유틸리티스케일태양광대표기업
A_1561,C_190,HAS_TRAIT,0.94,유틸리티스케일태양광트래커대표기업
A_1559,C_191,HAS_TRAIT,0.92,세액공제정책의존도높음
A_1559,C_192,HAS_TRAIT,0.94,미국가정용태양광사업노출
A_1558,C_193,HAS_TRAIT,0.91,유럽및미국태양광수요노출
A_1557,C_193,HAS_TRAIT,0.91,유럽및미국태양광수요노출
A_1556,C_193,HAS_TRAIT,0.91,유럽및미국태양광수요노출
A_1553,C_195,HAS_TRAIT,0.90,EM수출확대및중국내수저가덤핑노출
A_1554,C_195,HAS_TRAIT,0.90,EM수출확대및중국내수저가덤핑노출
A_1555,C_195,HAS_TRAIT,0.90,EM수출확대및중국내수저가덤핑노출
