asset_id,theme_id,relation_type,confidence,description
A_237,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_238,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_239,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_240,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_241,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_058,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_242,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_243,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_248,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_247,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_244,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_246,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
A_245,T_028,THEMED_AS,0.9,엔비디아 투자생태계 관련 노드
