asset_id,theme_id,relation_type,confidence,description
A_454,T_056,THEMED_AS,0.95,ABF기판 주요 글로벌 업체
A_455,T_056,THEMED_AS,0.95,ABF기판 주요 글로벌 업체
A_456,T_056,THEMED_AS,0.95,글로벌 PCB/기판 기업
A_457,T_056,THEMED_AS,0.95,일본 ABF기판 핵심 업체
A_080,T_056,THEMED_AS,0.9,FC-BGA 등 고부가 기판 사업
A_458,T_056,THEMED_AS,0.9,리드프레임 및 기판 사업
A_085,T_056,THEMED_AS,0.95,MLCC 및 FC-BGA 기판
A_459,T_056,THEMED_AS,0.9,PCB 및 반도체 기판
A_460,T_056,THEMED_AS,0.9,서버용 PCB 및 기판
A_461,T_056,THEMED_AS,0.9,패키지 기판 전문 기업
A_462,T_056,THEMED_AS,0.9,PCB 및 반도체 기판
A_463,T_056,THEMED_AS,0.9,네트워크용 PCB
