from_asset_id,to_business_field_id,relation_type,confidence,description
A_538,BF_123,OPERATES,0.95,태양광셀/모듈(미국) 사업 영위
A_539,BF_123,OPERATES,0.95,태양광셀/모듈(미국) 밸류체인 관련 사업
A_540,BF_123,OPERATES,0.95,태양광셀/모듈(미국) 사업 영위
A_543,BF_123,OPERATES,0.90,태양광셀/모듈(미국) 관련 사업
A_544,BF_123,OPERATES,0.88,태양광셀/모듈(미국) 관련 사업
A_545,BF_124,OPERATES,0.95,인버터 및 그리드 사업 영위
A_546,BF_124,OPERATES,0.95,인버터/그리드 관련 전력기기 사업 영위
A_384,BF_122,OPERATES,0.90,발전소 개발 및 EPC 수행
A_390,BF_122,OPERATES,0.92,발전소 개발 및 EPC 엔지니어링 수행
A_541,BF_122,OPERATES,0.88,신재생 발전사업 개발 수행
A_542,BF_122,OPERATES,0.90,발전소 개발 및 운영 수행
