asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_001,Rivian Automotive,리비안,RIVN,NASDAQ,US,STOCK
A_002,Tesla,테슬라,TSLA,NASDAQ,US,STOCK
A_003,BYD Company,BYD,1211,HKEX,CN,STOCK
A_004,Hyundai Motor,현대차,005380,KOSPI,KR,STOCK
A_005,Kia,기아차,000270,KOSPI,KR,STOCK
A_006,Toyota Motor,도요타,7203,TSE,JP,STOCK
A_007,Honda Motor,혼다,7267,TSE,JP,STOCK
A_008,General Motors,GM,GM,NYSE,US,STOCK
A_009,Ford Motor,포드,F,NYSE,US,STOCK
A_010,Stellantis,스텔란티스,STLA,NYSE,NL,STOCK
A_011,CJ CheilJedang,CJ제일제당,097950,KOSPI,KR,STOCK
A_012,CJ Logistics,CJ대한통운,000120,KOSPI,KR,STOCK
A_013,CJ ENM,CJENM,035760,KOSDAQ,KR,STOCK
A_014,CJ CGV,CJCGV,079160,KOSPI,KR,STOCK
A_015,Studio Dragon,스튜디오드래곤,253450,KOSDAQ,KR,STOCK
A_016,CJ Corporation,CJ주식회사,001040,KOSPI,KR,STOCK
A_017,CJ Bioscience,CJ바이오사이언스(비),,,KR,STOCK
A_018,CJ Olive Young,CJ올리브영(비),,,KR,STOCK
A_019,Coupang,쿠팡,CPNG,NYSE,US,STOCK
A_020,SPDR S&P 500 ETF Trust,SPY,SPY,NYSEARCA,US,ETF
A_021,SPDR Portfolio S&P 500 ETF,SPLG,SPLG,NYSEARCA,US,ETF
A_022,SPDR Portfolio S&P 500 Growth ETF,SPYG,SPYG,NYSEARCA,US,ETF
A_023,Invesco QQQ Trust,QQQ,QQQ,NASDAQ,US,ETF
A_024,Invesco NASDAQ 100 ETF,QQQM,QQQM,NASDAQ,US,ETF
A_025,ProShares Ultra QQQ,QLD,QLD,NASDAQ,US,ETF
A_026,ProShares UltraPro QQQ,TQQQ,TQQQ,NASDAQ,US,ETF
A_027,Schwab U.S. Dividend Equity ETF,SCHD,SCHD,NYSEARCA,US,ETF
A_028,Schwab U.S. Large-Cap Growth ETF,SCHG,SCHG,NYSEARCA,US,ETF
A_029,WisdomTree U.S. Quality Dividend Growth ETF,DGRW,DGRW,NYSEARCA,US,ETF
A_030,Vanguard Dividend Appreciation ETF,VIG,VIG,NYSEARCA,US,ETF
A_031,SPDR Dow Jones Industrial Average ETF Trust,DIA,DIA,NYSEARCA,US,ETF
A_032,ProShares Ultra Dow30,DDM,DDM,NYSEARCA,US,ETF
A_033,ProShares Ultra S&P 500,SSO,SSO,NYSEARCA,US,ETF
A_034,RISE US High Dividend Dow Jones TOP 10,RISE미국고배당다우존스TOP10,,KRX,KR,ETF
A_035,ACE US 500 Daily Target Covered Call (synthetic),ACE미국S&P500데일리타깃커버드콜(합성),,KRX,KR,ETF
A_036,ACE US Big Tech 7+ Daily Target Covered Call (synthetic),ACE미국빅테크7+데일리타깃커버드콜(합성),,KRX,KR,ETF
A_037,TIGER US NASDAQ 100 Daily Covered Call,TIGER미국나스닥100데일리커버드콜,,KRX,KR,ETF
A_038,CJ Freshway,CJ프레시웨이,051500,KOSPI,KR,STOCK
