asset_id,character_id,relation_type,confidence,description
A_008,C_001,HAS_TRAIT,0.9,Graph1-3
A_027,C_002,HAS_TRAIT,0.9,Graph1-3
A_030,C_002,HAS_TRAIT,0.9,Graph1-3
A_029,C_002,HAS_TRAIT,0.9,Graph1-3
A_034,C_002,HAS_TRAIT,0.9,Graph1-3
A_035,C_003,HAS_TRAIT,0.9,Graph1-3
A_036,C_003,HAS_TRAIT,0.9,Graph1-3
A_037,C_003,HAS_TRAIT,0.9,Graph1-3
A_023,C_004,HAS_TRAIT,0.9,Graph1-3
A_024,C_004,HAS_TRAIT,0.9,Graph1-3
A_025,C_004,HAS_TRAIT,0.9,Graph1-3
A_026,C_004,HAS_TRAIT,0.9,Graph1-3
A_020,C_005,HAS_TRAIT,0.9,Graph1-3
A_021,C_005,HAS_TRAIT,0.9,Graph1-3
A_022,C_005,HAS_TRAIT,0.9,Graph1-3
A_033,C_005,HAS_TRAIT,0.9,Graph1-3
A_031,C_006,HAS_TRAIT,0.9,Graph1-3
A_032,C_006,HAS_TRAIT,0.9,Graph1-3
