asset_id,theme_id,relation_type,confidence,description
A_001,T_001,THEMED_AS,0.95,Graph1-3
A_002,T_001,THEMED_AS,0.95,Graph1-3
A_003,T_001,THEMED_AS,0.95,Graph1-3
A_004,T_001,THEMED_AS,0.95,Graph1-3
A_005,T_001,THEMED_AS,0.95,Graph1-3
A_006,T_001,THEMED_AS,0.95,Graph1-3
A_007,T_001,THEMED_AS,0.95,Graph1-3
A_008,T_001,THEMED_AS,0.95,Graph1-3
A_009,T_001,THEMED_AS,0.95,Graph1-3
A_010,T_001,THEMED_AS,0.95,Graph1-3
A_012,T_002,THEMED_AS,0.95,Graph1-3
A_014,T_002,THEMED_AS,0.95,Graph1-3
A_015,T_002,THEMED_AS,0.95,Graph1-3
A_013,T_002,THEMED_AS,0.95,Graph1-3
A_011,T_002,THEMED_AS,0.95,Graph1-3
A_016,T_002,THEMED_AS,0.95,Graph1-3
A_038,T_002,THEMED_AS,0.95,Graph1-3
A_020,T_003,THEMED_AS,0.95,Graph1-3
A_021,T_003,THEMED_AS,0.95,Graph1-3
A_022,T_003,THEMED_AS,0.95,Graph1-3
A_023,T_003,THEMED_AS,0.95,Graph1-3
A_024,T_003,THEMED_AS,0.95,Graph1-3
A_025,T_003,THEMED_AS,0.95,Graph1-3
A_026,T_003,THEMED_AS,0.95,Graph1-3
A_027,T_003,THEMED_AS,0.95,Graph1-3
A_028,T_003,THEMED_AS,0.95,Graph1-3
A_029,T_003,THEMED_AS,0.95,Graph1-3
A_030,T_003,THEMED_AS,0.95,Graph1-3
A_031,T_003,THEMED_AS,0.95,Graph1-3
A_032,T_003,THEMED_AS,0.95,Graph1-3
A_033,T_003,THEMED_AS,0.95,Graph1-3
A_034,T_003,THEMED_AS,0.95,Graph1-3
A_035,T_003,THEMED_AS,0.95,Graph1-3
A_036,T_003,THEMED_AS,0.95,Graph1-3
A_037,T_003,THEMED_AS,0.95,Graph1-3
