asset_id,theme_id,relationship_type,confidence,description
A_002,T_177,THEMED_AS,1.0,테슬라 옵티머스 핵심 기업
A_055,T_177,THEMED_AS,0.95,옵티머스 AI 연산 밸류체인
A_232,T_177,THEMED_AS,0.95,옵티머스 반도체 제조 밸류체인
A_088,T_177,THEMED_AS,0.95,옵티머스 반도체 및 센서 밸류체인
A_202,T_177,THEMED_AS,0.9,옵티머스 배터리 밸류체인
A_147,T_177,THEMED_AS,0.9,옵티머스 배터리 밸류체인
A_816,T_177,THEMED_AS,0.9,옵티머스 디스플레이 밸류체인
A_085,T_177,THEMED_AS,0.9,옵티머스 센서/카메라 밸류체인
A_080,T_177,THEMED_AS,0.9,옵티머스 센서/카메라 밸류체인
A_079,T_177,THEMED_AS,0.9,옵티머스 액추에이터/부품 밸류체인
A_083,T_177,THEMED_AS,0.9,옵티머스 로봇 부품 밸류체인
A_1191,T_177,THEMED_AS,0.85,옵티머스 로봇프레임 밸류체인
